train_size,mae,rmse,r2,epochs,profession,augmentation
658,1.690862,2.4548364,0.7098572,35,veteriner,Augmentation YOK (Baseline)
1316,1.6863811,2.4148417,0.71923435,37,veteriner,Gaussian Noise
1316,1.7030034,2.4984875,0.69944704,41,veteriner,SMOTE-like
1316,1.7042482,2.3979776,0.72314215,37,veteriner,Mixup
1315,1.6852382,2.4141963,0.71938443,31,veteriner,Tüm Yöntemler
658,0.3751031,0.6755663,0.91500384,35,gida,Augmentation YOK (Baseline)
1316,0.39567393,0.6713709,0.9160563,20,gida,Gaussian Noise
1316,0.41432875,0.6703917,0.91630095,21,gida,SMOTE-like
1316,0.4653567,0.8707526,0.8587941,27,gida,Mixup
1315,0.4169229,0.7140202,0.9050523,20,gida,Tüm Yöntemler
658,2.4648237,3.6429412,0.68499357,50,ziraat,Augmentation YOK (Baseline)
1316,2.5049686,3.6925168,0.67636156,37,ziraat,Gaussian Noise
1316,2.4833148,3.6047814,0.6915584,37,ziraat,SMOTE-like
1316,2.433943,3.7088513,0.67349195,27,ziraat,Mixup
1315,2.5275507,3.7130253,0.6727566,32,ziraat,Tüm Yöntemler
